smoker,complications,ssn
False,2,326-37-2151
False,5,742-87-8244
True,7,441-68-4851
True,7,565-03-3728
False,6,860-16-8555
False,5,721-24-7681
True,10,708-89-7959
False,10,461-40-1376
False,8,653-44-4274
False,5,502-53-9089
True,7,202-37-2159
True,0,175-56-4073
False,2,166-86-0068
False,9,792-23-4103
False,1,115-40-4402
True,10,117-25-5665
,3,369-19-3708
False,6,396-90-0823
True,8,461-06-9655
False,9,102-83-2889
,8,126-81-4952
False,1,386-20-1528
,5,658-94-6618
False,1,500-24-1650
False,5,774-88-0353
False,0,241-19-8014
True,7,636-24-2660
False,3,764-70-0752
False,0,605-46-6960
False,3,226-60-7342
False,0,662-68-2253
False,6,496-92-4373
False,3,134-11-3595
False,3,483-77-3118
False,2,576-33-7651
True,8,501-50-9148
False,5,150-33-7883
True,9,202-69-5171
False,6,212-31-1805
True,9,351-30-2998
True,8,136-87-4800
True,8,801-20-3813
True,8,432-26-3716
False,6,280-52-8061
True,0,267-36-3528
False,1,378-49-7153
False,6,842-35-0050
,1,830-10-7710
True,8,416-47-3905
False,5,308-39-6288
False,5,500-86-8626
False,0,499-37-8950
False,4,168-58-0564
False,1,362-13-0683
False,4,382-45-4108
True,1,818-40-9373
False,1,424-54-3499
False,1,186-78-0742
False,5,715-25-8624
True,7,802-75-0309
False,6,262-32-3526
False,3,192-42-8199
True,9,594-06-0776
True,8,492-33-5474
True,9,536-48-5451
,6,457-89-3747
False,10,247-42-4165
False,6,400-52-1213
,10,895-30-8987
False,5,115-60-8731
True,2,656-70-2915
True,9,540-97-9760
False,3,682-17-0715
False,8,236-33-5703
,4,299-83-5881
True,1,242-74-0416
True,8,689-89-5374
True,8,402-31-6518
False,5,828-80-6501
True,8,781-25-5180
True,7,610-54-9034
True,8,657-06-0531
False,6,667-07-7460
True,9,169-27-9658
False,8,635-18-6304
,7,498-89-8411
True,8,752-44-3538
False,4,529-84-5076
True,10,845-79-9039
,2,695-23-9826
False,10,812-77-2300
False,0,898-01-8018
False,2,544-72-6684
False,3,271-14-3428
False,9,453-40-0447
False,3,869-21-8921
False,2,377-20-3760
True,7,771-34-3460
False,5,225-84-7519
True,6,701-54-9226
False,1,494-96-2274
False,5,752-27-1119
True,10,378-02-8327
False,2,150-91-4988
False,5,473-45-4797
True,8,333-50-9660
True,7,868-18-5760
True,8,739-44-6865
True,9,728-19-1190
False,6,775-35-5071
False,6,413-45-8707
False,4,589-37-6519
False,0,727-08-9179
True,9,182-28-4914
False,9,815-27-7933
False,6,120-56-8549
,3,260-93-0355
False,2,283-92-3013
False,4,133-40-5091
False,4,431-15-8817
False,6,805-83-7169
False,6,184-97-6949
True,5,137-29-9912
False,9,221-29-7084
,1,316-69-8142
False,6,542-85-9320
False,3,882-22-0859
True,8,757-41-7648
False,6,738-47-8221
True,9,715-60-7799
True,8,736-91-4322
,6,208-62-2617
True,9,153-26-6292
False,0,174-62-5567
False,0,214-85-2700
False,5,705-78-3538
True,7,584-74-0773
True,7,138-06-1046
False,2,753-11-5953
False,6,440-32-0263
True,9,166-78-0539
,7,439-67-0544
False,5,471-82-8886
False,4,200-23-2039
False,5,155-13-1393
False,5,417-75-9385
True,8,409-53-0556
True,9,273-84-5926
True,9,375-62-2890
False,5,780-63-0963
False,6,299-03-7954
False,0,744-74-9753
True,10,596-59-6606
True,8,693-36-7291
False,2,121-63-7422
True,7,332-92-7247
True,3,248-19-6944
,3,548-11-9782
True,8,555-28-6637
False,0,183-60-4667
True,8,434-34-7656
True,8,466-88-5021
True,10,397-34-4447
True,9,879-69-3677
False,10,761-42-6449
False,6,853-34-7417
False,5,542-81-6311
,9,867-17-6338
,3,890-55-4298
False,5,438-82-8691
True,10,410-53-3063
False,1,138-82-4712
False,0,605-24-8806
True,9,202-71-9682
False,0,492-66-3567
False,9,463-70-5141
False,3,738-57-0340
False,6,868-26-6977
True,7,348-12-9348
False,1,363-68-1270
False,2,745-61-6692
,2,282-43-0576
False,5,127-80-4253
True,9,516-31-1169
False,1,534-77-6263
False,3,153-87-0427
True,7,603-60-9795
False,1,892-51-7298
True,9,172-97-9597
False,0,145-53-3385
True,9,294-11-4067
False,2,335-40-3019
False,2,703-66-4805
False,4,365-86-5423
,0,560-21-6867
False,5,778-85-3554
False,4,712-60-5453
False,5,419-49-3438
False,2,323-81-7800
True,10,830-16-6221
False,3,751-12-1981
False,2,701-41-0099
True,10,523-02-3234
False,3,382-60-5438
True,9,551-14-1789
True,7,230-18-8022
True,9,844-89-8291
True,9,195-63-6857
False,6,312-94-4448
